t_perf,lab_model,weights,phase,proc_cpu_pct,proc_rss_gb,sys_cpu_pct,sys_ram_pct,cpu_freq_mhz
53474.8947207,yolo26n,yolo26n.pt,measure,818.8,0.23400497436523438,71.4,92.3,2515.0
53475.440836,yolo26n,yolo26n.pt,measure,782.7,0.23400497436523438,63.9,92.2,2515.0
53475.9453942,yolo26n,yolo26n.pt,measure,761.5,0.23415756225585938,70.4,92.3,2515.0
53476.4608741,yolo26n,yolo26n.pt,measure,763.1,0.23413848876953125,68.6,92.2,2515.0
53476.9960961,yolo26n,yolo26n.pt,measure,738.6,0.23414230346679688,68.4,92.2,2515.0
53477.5031103,yolo26n,yolo26n.pt,measure,718.8,0.23419189453125,72.4,92.2,2515.0
53478.0217652,yolo26n,yolo26n.pt,measure,731.3,0.2341766357421875,67.7,92.2,2515.0
53478.537551,yolo26n,yolo26n.pt,measure,785.8,0.23419189453125,62.9,92.2,2515.0
53479.1344245,yolo26n,yolo26n.pt,measure,791.8,0.23419570922851562,68.7,92.2,2515.0
53479.6587172,yolo26n,yolo26n.pt,measure,814.6,0.23419570922851562,66.0,92.3,2515.0
53480.1662071,yolo26n,yolo26n.pt,measure,737.3,0.23426055908203125,70.5,92.2,2515.0
53480.7560548,yolo26n,yolo26n.pt,measure,789.1,0.23424148559570312,65.9,92.3,2515.0
53481.2764175,yolo26n,yolo26n.pt,measure,787.3,0.23424148559570312,64.5,92.2,2515.0
53481.7826697,yolo26n,yolo26n.pt,measure,809.4,0.23424911499023438,73.4,92.4,2515.0
53484.8446096,yolo26x,yolo26x.pt,warmup,120.0,0.6048164367675781,36.3,93.1,2515.0
53487.007815,yolo26x,yolo26x.pt,warmup,753.8,0.7428016662597656,78.3,93.8,2515.0
53487.812111,yolo26x,yolo26x.pt,warmup,743.0,0.7444648742675781,81.6,93.9,2515.0
53488.5908543,yolo26x,yolo26x.pt,measure,790.3,0.7445297241210938,75.0,94.1,2515.0
53489.3798097,yolo26x,yolo26x.pt,measure,780.3,0.74456787109375,72.8,94.1,2515.0
53490.167912,yolo26x,yolo26x.pt,measure,778.2,0.7446746826171875,75.5,94.0,2515.0
